policy,timestamp,minute,t_cold_mean,t_hot_mean,t_outlet_mean,t_outlet_peak,rack_outlet,crah_cooling_capacity_kw,it_load_kw,ups_efficiency,ups_loss_kw,cooling_infra_kw,total_facility_kw,pue,violations,supply_mean,flow_mean
Reactive,2025-06-15 00:00:00+00:00,0,9.2,16.27575794476978,16.06939261864709,19.22956619258806,"[14.94756589 15.08775042 15.31714329 16.26020289 15.63574451 14.48878014
 16.40675944 15.99894989 16.21559872 16.69987256 16.98024163 18.03799766
 17.71939644 14.97942601 14.33585156 14.23389917 15.61025641 16.79545292
 15.74406892 15.77592904 16.553316   14.8201254  16.07541418 17.01210175
 17.54735179 16.64889637 17.40716725 15.06226232 15.7376969  14.09371464
 15.86513738 14.04273844 13.15702707 15.24705103 15.11961054 16.9993577
 16.96112555 15.32988734 17.4708875  15.87150941 16.91652138 14.49515216
 15.04951827 15.89062548 15.89062548 15.77592904 16.23471479 16.23471479
 15.34900342 15.42546771 15.83327726 16.92289341 16.37489932 19.01291737
 16.16462252 16.06904216 15.62937248 16.41950349 15.7122088  16.19648264
 16.92926543 15.64211653 14.53975633 15.55928022 17.14591426 15.01765815
 16.59792017 16.9738696  16.59792017 17.76400061 15.39997961 17.2351226
 15.77592904 14.76914921 14.97942601 14.89021767 16.7635928  15.4764439
 16.12001835 17.06944997 15.82690524 16.40675944 15.09412244 15.98620584
 14.25938727 15.36174746 16.27294693 15.28528317 15.71858082 15.79504511
 16.84005709 16.82731304 16.40038742 15.33625937 17.33707499 17.00572972
 17.98064944 16.94838151 19.00654534 14.57798848 16.61066422 15.36174746
 14.92844981 14.50789621 15.61025641 17.27972677 16.87191721 16.91652138
 14.15106285 17.27335474 17.29247082 16.40038742 16.49596778 14.8711016
 16.68712851 14.19566702 14.96668196 16.84005709 15.27891115 15.52742009
 16.1327624  15.02403018 16.58517612 15.38723556 17.56009584 16.87828924
 19.22956619 15.09412244 16.29843503 13.91529796 15.20881888 15.80141714
 17.33070296 14.22115512 16.94200948 16.72536066 17.79586073 17.17777438
 16.71261661 16.33029515 15.80778916 14.96030994 14.75640516 17.04396187
 14.69268492 15.75044094 14.11283071 15.39997961 16.19648264 16.90377734
 17.66204822 16.40675944 15.54653617 17.22237855 17.4453994  17.58558393
 14.22752714 16.14550645 15.31077127 16.06267013 16.78270887 16.31117908
 16.17099455 18.12083397 16.46410766 16.12001835 16.67438446 18.15269409
 17.01847377 17.56646786 15.99257787 14.52701229 13.5329765  15.63574451
 15.7376969  15.10049447 16.68075649 16.59792017 15.23430698 16.84642912
 16.33029515 15.27253912 17.28609879 16.98024163 14.08734261 15.46369985
 15.59751236 14.75003313 15.85239333 16.6042922  15.11961054 16.33666718
 16.13913442 18.47129531 14.69268492 17.30521486 16.51508386 16.87828924
 18.95556915 14.90933374]",23672.655780021778,2156.1099999999997,0.8961225483395,249.9336867649804,53.074374999999996,2459.11806176498,1.1405346024854857,0,9.2,78.0
Reactive,2025-06-15 00:01:00+00:00,1,9.399999999999999,16.57144638871383,16.381858846918487,20.622140839175472,"[17.64003348 15.18110286 16.12936068 15.47538977 15.44923093 16.3582505
 16.19475777 16.84218897 14.74948206 18.94797531 16.99260228 19.03953123
 16.51520352 15.50808831 18.49673538 14.7102438  14.26554358 15.37075442
 16.54136235 16.9337449  17.68581145 16.33863137 15.19418227 16.50866381
 18.32670294 17.73812912 15.53424715 15.13532489 16.71139479 17.60079523
 16.24053573 16.16205922 14.81487915 15.37729413 16.41710788 17.03838024
 17.28688919 16.41710788 15.9266297  16.46942555 16.26669457 15.75659726
 13.02299885 15.1418646  16.07704301 17.29996861 16.05088417 17.13647588
 15.9331694  15.76313697 16.0051062  18.33978236 17.98663807 17.65965261
 20.62214084 17.49615988 15.8546929  15.717359   15.37075442 18.03241603
 17.41114366 14.72986293 15.88085173 16.86834781 17.38498483 15.46885006
 14.74948206 15.26611908 17.23457152 17.37844512 15.53424715 14.61214816
 14.33748038 13.72928743 16.20783719 16.41710788 17.20187297 17.17571414
 16.38440933 18.06511458 16.77679188 16.43672701 16.74409333 16.85526839
 13.02299885 15.46885006 15.73697813 15.30535733 15.13532489 16.37132992
 17.86238359 16.38440933 16.02472533 16.10974155 16.79641101 15.79583551
 17.08415821 17.4373025  19.35997698 16.19475777 16.45634613 14.91297478
 16.44326672 14.84103798 16.43672701 16.71139479 15.717359   18.60137072
 17.37190541 15.12224547 17.69889087 16.92720519 17.50269959 15.67812075
 15.77621639 13.56579471 14.59906875 16.66561683 17.35228628 18.11743225
 18.18936905 14.57944962 17.52231872 15.05684838 18.69292665 17.52885843
 16.33209166 17.14301559 15.97240766 13.65735063 15.97240766 15.1418646
 16.13590039 15.74351784 17.71850999 15.14840431 17.02530083 18.66676781
 16.24707544 17.4373025  17.60079523 14.44865544 15.9266297  15.56040599
 14.7102438  17.53539814 16.75717275 15.98548708 15.69773988 15.72389871
 17.87546301 16.69831537 17.46346134 16.99914199 17.96047923 17.41114366
 15.99202679 15.23996024 16.40402846 16.41710788 15.81545464 15.25957937
 15.35113529 15.717359   15.65196191 17.64003348 16.91412577 18.67330752
 19.54308884 17.50269959 13.67696976 14.99145129 15.46231035 14.25246416
 15.63888249 16.33863137 15.77621639 15.6454222  15.82199435 18.49673538
 16.75717275 16.27323428 16.88796694 18.36594119 14.47481427 15.7892958
 16.20129748 16.39748875 17.20841268 15.46231035 17.28688919 15.5734854
 16.12936068 17.86238359 17.67273203 17.03838024 16.03780475 17.92778068
 16.9337449  14.36363922]",23992.791038081,2135.2200000000003,0.895317377758,249.6549650619868,50.294999999999995,2435.169965061987,1.140477311500448,0,9.399999999999999,76.0
Reactive,2025-06-15 00:02:00+00:00,2,9.599999999999998,16.859388249371165,16.68616543979367,20.413497394014293,"[15.15451077 16.22914405 14.01942937 16.69929612 16.6858632  16.09481489
 17.90825856 17.65303315 16.6052657  16.71272903 18.27094729 16.21571114
 17.58586857 14.93958412 15.82615657 16.1418301  16.1418301  17.42467358
 16.6858632  16.31645801 15.59108054 17.71348127 17.6933319  18.80154747
 16.7664607  17.72019773 17.80751169 15.43660201 15.71197679 14.15375853
 16.88735694 16.88735694 17.54556982 18.84856268 16.43735425 16.90078986
 17.12243297 19.2448337  15.7254097  18.12990167 16.33660738 12.958229
 13.61644189 14.43584977 17.08213422 15.30898931 16.12839718 15.36272097
 17.32392671 15.77914137 18.39184353 16.24257697 16.64556445 17.71348127
 17.79407877 19.37916286 15.7254097  14.56346247 15.3895868  15.55749825
 17.04183547 16.87392402 16.53810112 17.71348127 16.477653   17.05526839
 17.54556982 19.08363871 17.61945086 17.53885337 14.49629789 16.41720488
 15.31570577 16.43063779 14.34181935 17.4851217  15.26869056 16.00078448
 18.0291548  15.79257428 17.23661276 17.5657192  16.65899737 19.19781849
 17.01496964 13.69032293 14.39555102 16.84705819 14.89256891 15.99406802
 16.69257966 17.43139004 16.6858632  17.18288109 16.48436946 18.74109935
 17.11571651 18.13661813 17.45825587 15.73212616 15.63809575 15.81944012
 15.1343614  17.13586589 17.93512439 16.92765569 17.59930149 17.88139272
 18.15005105 17.70004836 17.78064585 18.61348665 17.98885605 14.59704476
 15.77914137 14.02614583 16.10153135 16.69929612 17.70676482 16.78661007
 17.74706356 16.98810381 16.13511364 15.92018699 16.53810112 16.31645801
 18.50602332 15.31570577 16.27615926 15.95376928 17.10900005 17.30377734
 15.75899199 16.30974155 16.2224276  15.30227285 17.79407877 18.48587395
 17.45825587 17.1492988  18.91572726 13.11270754 15.83287303 15.97391865
 15.42988555 17.58586857 17.33735963 16.2694428  16.62541508 16.49780237
 16.54481758 15.92018699 18.80826393 18.62691956 18.5731879  16.84034173
 17.70004836 17.7739294  16.1418301  15.22167535 15.43660201 16.90750631
 15.73884262 16.80004299 18.1097523  15.67167804 19.38587932 19.12393746
 16.47093654 16.47093654 15.26869056 14.69107517 15.63809575 13.48211273
 16.02765031 18.25079792 15.48361722 16.51123529 15.46346784 17.78064585
 17.08885068 19.44632744 17.87467627 17.47168879 16.05451615 15.16794369
 14.50301435 16.33660738 16.03436677 16.55153404 16.9410886  16.2224276
 17.33735963 18.84184622 16.14854656 19.19110204 17.37094192 17.0216861
 20.41349739 15.78585783]",24287.009327096184,2110.09,0.8943430009594999,249.28442092819023,47.658125000000005,2407.0325459281903,1.1407250619301499,0,9.599999999999998,74.0
Reactive,2025-06-15 00:03:00+00:00,3,9.799999999999997,17.170153062357787,17.01449083278109,21.82507179147338,"[17.59351668 17.20694721 14.79779103 16.84798984 16.35787497 15.69518445
 15.42596642 17.55209852 18.23549812 18.21478904 17.66944997 17.34500773
 17.33120168 15.37074221 15.053203   16.09555997 16.46142037 15.74350563
 16.60638392 16.24052353 17.20694721 17.91795891 17.75918931 18.24240115
 16.22671747 17.72467418 18.58755246 16.55806273 14.41812459 16.42000221
 17.68325602 16.43380826 16.70302629 17.44855313 17.41403799 18.04221339
 17.6004197  17.8627347  17.07578971 17.89034681 19.54707312 15.62615419
 15.84705103 15.69518445 17.20004418 15.6813784  17.69015905 15.95749945
 16.01272366 17.50377734 17.60732273 17.95937707 18.93270378 17.58661365
 18.65658273 17.43474707 17.27597747 16.80657168 16.889408   16.70992931
 15.88156616 16.53735366 17.57971063 17.22075326 17.54519549 16.19220234
 17.9662801  17.24836536 17.0205655  18.16646786 13.99703998 16.82037773
 17.16552905 16.40619616 15.61234813 15.84705103 16.84798984 14.67353656
 17.55209852 18.23549812 17.40713497 17.40023194 18.28381931 18.63587365
 16.99985642 16.06794787 15.51570577 15.92988734 16.77895958 18.38046167
 16.62018997 16.04723879 16.41309918 15.32932406 18.02150431 16.44761431
 16.76515352 16.17839629 17.24836536 16.58567484 14.81850011 14.54928209
 16.72373537 16.364778   17.35191076 17.84892865 17.25526839 16.102463
 17.49687431 18.32523746 17.38642589 16.68231721 19.49184891 15.51570577
 15.70208748 16.32335984 17.55209852 16.94463221 16.50283852 17.73848023
 19.4366247  18.82915838 18.27001325 16.59257787 21.82507179 16.87560194
 17.91105589 15.17055445 17.75918931 16.68922023 14.95656064 16.89631102
 17.36571681 16.64780208 15.89537221 16.59257787 17.06888668 17.72467418
 17.34500773 18.82915838 17.26217142 14.04536117 15.25339077 17.6004197
 15.79182682 18.98792799 17.25526839 15.72279655 16.24742655 17.54519549
 16.25432958 20.11312127 16.80657168 18.71870996 19.70584272 18.26311023
 14.93585156 15.86776011 16.70992931 17.42094102 16.75134747 15.42596642
 17.10340181 16.53735366 15.1567484  16.87560194 16.29574774 18.57374641
 20.15453943 20.2511818  15.32242103 15.61234813 16.99295339 17.55900155
 16.20600839 16.67541418 19.29166114 17.07578971 16.86179589 17.66944997
 18.33214049 16.85489287 17.8351226  17.06888668 15.577833   17.9938922
 16.99985642 16.31645681 15.62615419 16.44761431 18.04221339 16.55115971
 18.81535233 16.07485089 17.37952286 19.66442456 15.96440247 19.45043075
 16.48903247 15.90227524]",24657.58408542422,2090.2400000000002,0.8935688837119999,248.96410401588128,45.160000000000004,2384.3641040158814,1.1407130779316639,0,9.799999999999997,72.0
Reactive,2025-06-15 00:04:00+00:00,4,9.999999999999996,17.545223789016713,17.410501278046006,21.87162737858563,"[16.37602954 17.62567452 13.57142857 15.07668276 16.7026413  17.5333712
 16.72394206 17.62567452 16.78784436 17.81028117 17.51917069 18.86821926
 19.41493894 17.84578245 15.80800909 16.35472877 16.92984947 16.75234308
 17.19255893 15.77250781 18.02328884 16.83754615 16.97955126 16.48963363
 19.60664584 18.40670264 19.96875888 16.55353593 14.63646691 15.48139733
 17.63277478 16.19852315 16.03521727 17.19255893 17.38426583 16.68134053
 17.5972735  17.61857427 15.55950014 19.03862539 17.82448168 17.60437376
 15.17608634 14.90627663 18.03748935 15.26838966 16.46833286 17.96648679
 17.16415791 15.94291394 18.08719114 17.86708321 19.62794661 19.07412667
 21.87162738 17.07185459 16.31922749 15.39619426 17.94518603 17.78188015
 17.89548424 16.44703209 16.66714002 15.48849759 19.65634763 18.56290826
 17.93098552 19.39363817 19.37943766 19.805453   14.56546436 15.71570577
 16.87304743 17.22806021 18.05879012 16.14882136 17.54757171 19.94745811
 18.52030673 18.89662028 18.13689293 19.15932974 20.45157626 18.82561772
 17.54047146 15.49559784 17.24226072 17.76057938 16.18432264 18.34280034
 16.63873899 16.68844078 17.73217836 19.97585913 18.43510366 19.28713434
 17.69667708 18.74751491 17.5972735  15.76540755 17.44816813 16.7026413
 18.4777052  16.90144845 17.09315535 18.85401874 16.98665152 16.24822494
 19.4362397  18.67651235 16.11332008 18.65521159 18.36410111 18.17949446
 15.72990628 16.07071855 15.90741267 15.94291394 16.50383414 15.90741267
 16.5251349  16.09911957 16.40443056 16.5251349  17.81738143 17.82448168
 17.43396762 16.77364385 16.40443056 16.17722238 16.333428   18.70491338
 17.45526839 17.88838398 14.8139733  17.05765408 15.6305027  17.67537631
 18.71201363 17.78188015 19.2445328  15.12638455 17.01505254 14.92757739
 16.48963363 17.4055666  17.71797785 17.19255893 19.58534507 17.26356149
 17.41266686 15.14058506 20.14626527 18.05879012 17.38426583 20.23146833
 17.6611758  16.64583925 15.19028685 17.34876456 16.43283158 16.02811701
 18.57710878 15.38199375 18.44220392 18.51320648 20.39477421 18.74041465
 16.39023005 17.88128373 16.36182903 16.85884692 17.71087759 14.76427151
 16.68844078 18.25759727 19.0528259  19.57824482 17.37006532 19.13802897
 19.98295939 19.62084635 19.30133485 19.59954558 15.39619426 14.88497586
 17.6611758  16.42573133 16.9582505  16.55353593 16.93694973 17.7889804
 16.63873899 17.98778756 18.36410111 18.20789548 17.68247657 19.50014201
 20.84209032 15.72990628]",25243.300708534323,2087.39,0.8934574149395,248.91609035949023,42.796875,2379.10296535949,1.1397501019739915,0,9.999999999999996,70.0
Reactive,2025-06-15 00:05:00+00:00,5,10.199999999999996,17.98371231846101,17.87326189919307,22.38424745643784,"[18.3057771  18.11574085 14.42465209 16.69046895 17.01937785 18.76624956
 18.31308619 18.81741317 19.1828675  17.69181382 18.04995907 17.72105017
 19.06592211 16.57352356 17.08515963 16.28846918 18.27654076 18.48119518
 19.35828558 18.634686   18.2546135  18.97821307 19.10246755 17.91108642
 20.22806689 20.89319378 21.36828441 16.69046895 17.19479593 17.4871594
 17.22403228 18.09381359 17.47985031 17.58948661 19.92108525 18.3642498
 18.45195884 19.53370366 18.92704947 19.27057654 19.0732312  15.25788797
 16.75625073 15.7329786  17.39945036 16.06919659 18.56159514 18.56890422
 18.24730441 18.02072272 18.78086773 16.36156005 17.50177757 18.73701321
 19.46792188 19.19748567 15.63065139 17.07054146 16.61737808 16.13497837
 17.85992282 17.46523214 19.19748567 18.80279499 19.0732312  18.81010408
 17.72105017 17.8160683  17.42137762 22.38424746 15.49177874 16.63930534
 16.66854169 16.94628698 16.80741434 15.58679687 16.73432347 16.49312361
 18.07188633 17.65526839 17.84530464 19.02206759 18.34232254 20.19152146
 16.20076015 17.06323237 15.55025143 17.91839551 16.94628698 18.02803181
 18.13766811 17.77221378 18.39348614 17.9257046  20.01610338 19.76028535
 19.45330371 17.82337738 18.10112268 16.03265115 16.68315986 17.63334113
 16.35425096 18.81741317 17.72105017 15.70374225 17.58217752 15.46254239
 17.66257748 18.07919542 18.20344989 18.70777687 18.82472225 16.05457841
 18.54697696 18.42272249 16.02534207 18.84664951 15.88646942 16.96090516
 19.72373991 15.78414221 19.05861303 17.24595954 18.65661326 18.81010408
 21.06130277 15.76221495 16.76355982 17.72105017 16.94628698 16.51505087
 17.54563209 17.90377734 18.9635949  17.15094141 17.88185008 18.91974038
 18.57621331 18.75163139 19.12439481 15.83530581 15.90839668 17.46523214
 15.96686937 18.64199509 17.79414104 16.34694188 18.24730441 18.31308619
 19.16094024 19.78221261 18.3057771  18.12304994 18.42272249 18.20344989
 15.91570577 17.23865045 17.13632324 16.7708689  16.69046895 18.07188633
 17.33366858 16.93166881 18.10112268 18.16690446 17.47985031 19.75297626
 19.96493977 19.27057654 16.82203251 17.45061396 17.02668694 18.23268624
 19.26326745 17.72835926 18.31308619 18.97821307 17.84530464 17.16555958
 19.59217635 17.07054146 20.94435739 20.12573968 16.8293416  16.87319612
 18.92704947 16.16421471 16.12036019 16.92435972 17.4871594  16.86588703
 18.32770436 18.49581336 17.6479593  20.49119401 17.39945036 17.71374108
 19.72373991 16.52966904]",26041.187932643163,2099.65,0.8939363493875,249.1190163160063,40.565,2389.3340163160065,1.1379677643016723,0,10.199999999999996,68.0
Reactive,2025-06-15 00:06:00+00:00,6,10.399999999999995,18.515850295550187,18.43459545755768,22.087451051268143,"[17.82514609 16.85370203 16.58260136 17.22270016 17.37331165 18.93967106
 17.9983493  19.60236159 19.60236159 20.31023556 20.34788843 20.41566359
 20.59639737 16.51482619 17.00431351 15.43042352 18.02847159 17.13233327
 18.54055064 18.88695705 16.95913007 17.53898428 18.48783662 18.49536719
 19.46681125 18.1715525  19.72285077 15.13673113 14.80538587 18.24685824
 16.16088921 17.20763901 16.43198988 16.64284595 17.97575758 18.16402193
 19.93370685 19.52705585 18.92460992 20.27258269 20.87502862 17.45614796
 16.72568227 18.53302006 19.57976987 18.52548949 19.97889029 19.21830231
 19.33126092 17.33565877 17.50886198 18.90954877 17.27541418 18.69116212
 20.53615278 19.00744623 17.7347792  15.79942165 16.96666064 18.87942647
 18.15649135 18.45018375 20.24246039 19.97889029 17.71971806 20.40060245
 18.41253088 19.28607747 19.51952527 20.91268149 15.79942165 17.77996265
 18.05859389 18.58573408 17.62935117 19.19571058 17.45614796 19.75297307
 19.05262968 17.26788361 19.5119947  19.45175011 19.0450991  18.8116513
 16.74827399 15.58856558 19.32373035 16.33409242 17.06455811 19.30113862
 18.86436532 19.21830231 20.31023556 18.44265317 17.81008494 20.14456293
 20.28764383 19.21830231 18.35228628 18.55561178 18.00587987 16.00274715
 18.63091753 16.31903127 17.59922887 17.07961925 17.82514609 17.80255437
 18.24685824 19.95629857 19.66260618 20.24246039 20.96539551 16.68049883
 17.38837279 18.10377734 19.62495331 18.90954877 19.64754503 19.43668896
 19.67766733 16.66543768 19.87346226 19.31619977 19.33879149 18.87942647
 19.18818001 17.51639255 18.19414423 15.74670763 17.88539069 17.20010844
 16.95913007 18.67610097 18.05859389 17.88539069 17.95316585 19.33879149
 19.21077173 18.18661365 18.6685704  16.78592686 17.64441231 16.19854208
 18.13389963 16.84617146 21.0557624  17.10974155 17.47873968 18.78905958
 17.74984035 19.90358455 21.1988433  18.92460992 19.75297307 19.17311886
 17.13233327 18.94720164 18.53302006 16.70309055 19.67013676 19.42915838
 18.86436532 17.77243207 18.78905958 18.01341045 19.63248388 18.94720164
 16.98172179 20.74700886 17.29047533 18.48783662 17.31306705 17.87786011
 19.12793542 18.50289776 18.58573408 22.08745105 18.46524489 19.0450991
 21.01057895 18.33722513 18.26944997 18.02847159 17.62182059 17.92304356
 18.24685824 16.07805289 18.94720164 19.36138322 18.09624676 18.4351226
 19.36138322 19.21077173 19.72285077 17.968227   19.19571058 18.21673595
 20.49849991 17.75737093]",27152.38874879272,2133.8599999999997,0.895264807502,249.63590212751978,38.460625,2421.9565271275196,1.1350119160242564,0,10.399999999999995,66.0
Reactive,2025-06-15 00:07:00+00:00,7,10.599999999999994,18.865751837462085,18.804095738071563,22.272154572564606,"[17.65920726 18.32707505 16.3700671  19.38323807 18.04750249 18.94058151
 20.29961481 18.31930915 20.7966327  19.75600149 19.84142644 20.66461233
 18.76973161 18.20282058 17.78346173 19.12696322 17.86888668 17.9077162
 18.96387922 18.66877485 17.57378231 18.9172838  20.81993042 19.44536531
 18.73866799 20.7888668  18.00090706 14.97997018 17.65144135 18.0708002
 18.31930915 17.2320825  18.29601143 17.0457008  19.13472913 17.20101889
 19.11143141 19.79483101 17.65144135 19.29004722 21.02184394 19.19685636
 15.84975149 18.19505467 16.56421471 16.64187376 20.2763171  19.39876988
 17.88441849 19.28228131 19.98121272 19.64727883 22.25662276 20.54812376
 16.55644881 19.91131958 16.68070328 17.50388917 17.96207753 17.3951665
 17.09229622 20.15206262 19.46089712 18.18728877 19.96568091 20.15982853
 21.05290755 18.55228628 20.89758946 19.48419483 18.83185885 17.46505964
 15.24401093 18.13292744 16.22251491 18.249416   18.63771123 18.44356362
 17.37963469 18.01643887 18.53675447 19.4375994  21.43343688 20.9597167
 16.87485089 19.11143141 16.23804672 18.83185885 18.03197068 18.71537028
 19.39100398 18.06303429 19.98897863 19.25121769 22.27215457 19.31334493
 21.34801193 20.82769632 18.90951789 19.15802684 16.540917   15.37603131
 19.17355865 19.63174702 18.65324304 18.49015905 20.84322813 20.02780815
 18.63771123 20.46269881 18.36590457 19.36770626 18.99494284 14.94890656
 16.34676938 19.34440855 16.84378728 17.68250497 17.17772117 19.74046968
 18.94058151 19.71717197 19.22015408 18.18728877 18.62217942 20.93641899
 20.09770129 18.35813867 14.48295229 19.15802684 17.48835736 20.7966327
 17.87665258 18.70760437 19.64727883 18.06303429 20.30738072 18.73866799
 21.20045974 20.81993042 20.68014414 16.5486829  17.35633698 18.14845924
 15.64007207 17.5660164  19.50749254 17.13889165 20.31514662 18.29601143
 19.6084493  18.09409791 20.19865805 20.37727386 21.37130964 21.82949801
 19.00270875 17.98537525 16.51761928 19.69387425 16.83602137 18.04750249
 19.62398111 19.48419483 21.02960984 19.36770626 17.61261183 19.46089712
 20.19089215 19.7792992  19.12696322 17.3951665  16.21474901 18.63771123
 16.96027584 20.47823062 19.01824056 17.27867793 20.36950795 22.07800696
 17.18548708 20.77333499 20.49376243 20.33844433 17.82229125 18.20282058
 17.02240308 19.67834245 16.66517147 20.72673956 20.42386928 17.47282555
 19.04930417 20.91312127 18.89398608 19.47642893 19.39876988 21.43343688
 19.56961978 17.5582505 ]",27653.89934741317,2112.8500000000004,0.8944503243875,249.32701798792823,36.480000000000004,2398.6570179879286,1.1352708512142027,0,10.599999999999994,64.0
Reactive,2025-06-15 00:08:00+00:00,8,10.799999999999994,19.244134348681747,19.203570512409406,24.195433848521766,"[18.85649971 18.1670878  17.58188931 17.22115052 17.22115052 17.83841467
 17.3975117  18.80038479 20.25135638 20.16317578 19.31343552 19.29740268
 19.53789521 16.26719682 16.66000128 19.2172385  16.87644456 18.80038479
 18.24725197 22.11918168 17.24519977 19.8505355  19.42566536 19.11302508
 20.62812801 20.64416084 19.38558327 18.38353107 18.55187584 19.86656833
 17.77428333 20.48383249 18.68815494 16.76421471 19.97879818 19.45773103
 18.70418778 21.10109665 19.6260758  21.62216379 20.50788174 18.72022061
 18.84046688 18.80038479 17.20511768 19.7623549  18.8965818  21.48588469
 19.86656833 20.40366831 18.79236837 19.43368178 20.24333996 18.92864747
 19.14509075 20.62812801 17.87048034 18.41559674 19.73028923 18.11097287
 19.6260758  18.84046688 18.99277881 19.74632207 17.16503559 19.93871609
 19.3054191  19.16112358 18.22320272 20.1711922  15.64993266 19.16112358
 18.03882511 16.51570577 17.93461168 19.86656833 18.45567883 19.04087732
 19.14509075 19.64210864 17.96667736 20.16317578 19.7623549  24.19543385
 17.58990573 17.50974155 19.45773103 18.28733406 18.99277881 17.84643109
 20.98085038 18.55989226 19.97879818 21.10109665 19.58599372 20.15515937
 21.07704739 21.3977041  19.48178029 18.2151863  17.06883858 17.51775797
 17.84643109 20.29945488 20.96481755 22.39173988 19.40161611 18.66410569
 18.72022061 22.03100109 18.45567883 20.13912653 20.05094594 20.0349131
 16.92454306 19.68219073 20.14714295 18.57592509 19.54591163 17.3494132
 19.3054191  19.36153402 16.72413262 20.53994741 20.67622651 18.42361316
 18.96872956 16.97264157 17.44561021 17.92659527 17.35742962 17.50172513
 19.29740268 18.56790868 19.2172385  19.28136985 20.31548772 19.79442057
 21.22134291 20.52391458 21.67827871 19.31343552 16.26719682 19.34550119
 20.58804592 17.4856923  18.82443404 18.64807285 19.81846983 20.1230937
 18.90459822 21.49390111 19.09699224 20.1711922  21.78249214 23.11321747
 17.3494132  19.11302508 18.64807285 16.69206695 17.65403707 17.56585647
 18.6240236  18.93666389 19.68219073 21.3977041  20.5800295  23.46593984
 20.19524145 21.64621304 18.39956391 19.92268326 17.87048034 19.55392804
 20.70829218 18.08692362 19.0809594  19.9868146  19.06492657 18.74426986
 22.2153787  19.94673251 22.51198615 20.02689668 17.59792214 19.01682806
 18.01477586 17.3975117  17.82238184 19.22525492 18.3033669  19.42566536
 16.81231322 19.06492657 19.73028923 19.54591163 19.17715642 19.51384596
 20.87663695 19.78640416]",28250.695876949674,2096.59,0.8938169518595,249.06924895276006,34.619375000000005,2380.2786239527604,1.1353095378461027,0,10.799999999999994,62.0
Reactive,2025-06-15 00:09:00+00:00,9,10.999999999999993,19.85443770707294,19.847166998011918,23.499999999999993,"[16.91451292 18.52982107 20.30251822 19.72266402 19.40788602 19.17594433
 19.97117296 20.04572565 17.67660702 19.72266402 18.4055666  22.64678595
 22.28230616 17.39496355 19.59012591 21.85155732 18.2481776  20.85752154
 19.91318754 19.38303512 18.52153744 19.42445328 19.83863486 17.66832339
 21.42080848 20.5841617  21.76872101 17.79257787 22.24917164 16.68257124
 17.8008615  20.05400928 22.33200795 18.38071571 22.1083499  18.91086812
 21.87640822 20.57587806 23.47514911 23.13552021 20.33565275 21.89297548
 17.07190192 18.28959576 21.14744864 18.20675944 18.53810471 19.71438038
 20.33565275 20.46819085 19.27534791 20.66699801 21.42909211 22.72962227
 21.4787939  19.73923128 18.43870113 17.85056329 20.47647449 16.97249834
 19.97117296 18.16534129 21.28827038 20.88237243 20.41848907 20.99005964
 20.16169649 21.6361829  20.94864148 22.14148443 18.41385023 15.47316103
 18.14049039 20.88237243 21.01491054 19.55699139 19.49072233 19.44930417
 20.86580517 21.01491054 19.30019881 21.55334659 22.48111332 19.97945659
 18.04937044 19.07654076 19.61497681 18.4055666  18.48840292 18.78661365
 20.06229291 20.33565275 19.99602386 18.53810471 19.10139165 21.46222664
 19.37475149 21.38767396 20.8740888  17.68489066 18.68721007 20.94864148
 19.44930417 18.93571902 17.69317429 20.37707091 21.37110669 20.93207422
 21.84327369 21.19715043 19.20907886 20.99005964 21.90954274 19.26706428
 17.97481776 18.72862823 19.4824387  20.82438701 20.70841617 20.47647449
 20.38535454 18.83631544 18.96056991 20.43505633 22.05864811 21.47051027
 21.89297548 16.44234592 16.71570577 20.13684559 18.91915176 17.54406892
 20.49304175 19.93803844 23.5        21.60304838 20.70013254 20.29423459
 20.99005964 20.79125249 19.3499006  19.39960239 18.80318091 15.25778661
 18.10735586 18.0907886  20.55102717 19.49900596 21.61961564 18.00795229
 18.86944997 21.75215374 19.82206759 19.54042412 20.41848907 20.35222001
 19.07654076 20.01259112 16.86481113 18.6954937  19.29191518 19.59012591
 20.7415507  20.07057654 19.42445328 18.97713718 18.31444665 20.33565275
 21.0314778  22.37342611 17.87541418 21.44565938 18.67892644 18.38899934
 19.68124586 18.22332671 19.90490391 17.29555997 20.92379059 20.38535454
 20.77468522 20.92379059 19.36646786 20.05400928 20.22796554 19.10967528
 17.97481776 19.45758781 19.65639496 21.7935719  20.96520875 20.31080186
 19.45758781 22.45626243 20.32736912 19.59012591 19.37475149 20.03744201
 20.8740888  19.38303512]",29623.406792783248,2136.0600000000004,0.895349838382,249.66668294675264,32.875,2418.601682946753,1.1322723532797545,0,10.999999999999993,60.0
