policy,timestamp,minute,t_cold_mean,t_hot_mean,t_outlet_mean,t_outlet_peak,rack_outlet,crah_cooling_capacity_kw,it_load_kw,ups_efficiency,ups_loss_kw,cooling_infra_kw,total_facility_kw,pue,violations,supply_mean,flow_mean
Safe optimizer,2025-06-15 00:00:00+00:00,0,9.3,16.45551019136348,16.258605509798354,19.45982029898531,"[15.1222096  15.26421471 15.49658671 16.45189383 15.8193256  14.6574656
 16.60035372 16.18724794 16.40671039 16.8972735  17.18128373 18.25277685
 17.93003795 15.15448349 14.50255093 14.39927448 15.79350649 16.99409517
 15.92905683 15.96133072 16.74881361 14.99311404 16.26470527 17.21355762
 17.75575895 16.84563528 17.61375384 15.2383956  15.92260205 14.25726937
 16.05169761 14.20563115 13.30841703 15.42558416 15.2964886  17.20064806
 17.16191939 15.50949627 17.67830162 16.05815238 17.11673595 14.66392037
 15.22548604 16.07751672 16.07751672 15.96133072 16.42607472 16.42607472
 15.5288606  15.60631794 16.01942372 17.12319073 16.56807983 19.24035785
 16.35507216 16.2582505  15.81287083 16.61326328 15.89678294 16.38734605
 17.1296455  15.82578038 14.70910382 15.74186827 17.34910795 15.19321216
 16.79399706 17.17482895 16.79399706 17.9752214  15.58049883 17.43947484
 15.96133072 14.94147582 15.15448349 15.0641166  16.96182128 15.65795616
 16.30988872 17.27165062 16.01296894 16.60035372 15.27066949 16.17433839
 14.42509359 15.54177016 16.46480339 15.46431282 15.90323772 15.98069505
 17.03927861 17.02636906 16.59389894 15.51595105 17.54275128 17.20710284
 18.19468384 17.14900984 19.23390308 14.74783249 16.80690661 15.54177016
 15.10284527 14.67682993 15.79350649 17.48465828 17.0715525  17.11673595
 14.31536237 17.47820351 17.49756784 16.59389894 16.69072061 15.04475227
 16.88436395 14.36054582 15.14157393 17.03927861 15.45785805 15.70959438
 16.32279828 15.19966693 16.7810875  15.56758927 17.76866851 17.07800728
 19.4598203  15.27066949 16.4906225  14.07653559 15.38685549 15.98714983
 17.53629651 14.38636493 17.14255506 16.92309261 18.00749529 17.38138184
 16.91018306 16.52289639 15.99360461 15.13511916 14.92856626 17.2458315
 14.86401849 15.93551161 14.2766337  15.58049883 16.38734605 17.10382639
 17.87194495 16.60035372 15.72895872 17.42656528 17.65248251 17.79448762
 14.39281971 16.33570783 15.49013194 16.25179572 16.98118561 16.50353205
 16.36152694 18.33668896 16.65844672 16.30988872 16.87145439 18.36896285
 17.22001239 17.77512329 16.18079316 14.69619426 13.68924892 15.8193256
 15.92260205 15.27712427 16.87790917 16.79399706 15.4126746  17.04573339
 16.52289639 15.45140327 17.49111306 17.18128373 14.25081459 15.6450466
 15.78059694 14.92211149 16.03878805 16.80045183 15.2964886  16.52935117
 16.32925305 18.69170174 14.86401849 17.5104774  16.71008494 17.07800728
 19.18226485 15.08348093]",23939.47489622566,2156.1099999999997,0.8961225483395,249.9336867649804,51.666640625,2457.71032738998,1.139881697775151,0,9.3,77.0
Safe optimizer,2025-06-15 00:01:00+00:00,1,9.600000000000001,16.940710332080663,16.770557734673044,21.125441942936973,"[18.06273709 15.53734888 16.51123529 15.83958949 15.81272366 16.74631132
 16.57839987 17.24332921 15.09406265 19.40602869 17.39780775 19.5000591
 16.90750631 15.87317178 18.94259309 15.0537639  14.59704476 15.73212616
 16.93437215 17.33735963 18.1097523  16.72616195 15.5507818  16.90078986
 18.76796518 18.16348396 15.90003761 15.49033367 17.10900005 18.02243834
 16.62541508 16.54481758 15.16122723 15.73884262 16.80675944 17.44482295
 17.70004836 16.80675944 16.30302509 16.86049111 16.65228091 16.12839718
 13.32091774 15.49705013 16.45750363 17.71348127 16.43063779 17.54556982
 16.30974155 16.13511364 16.38362259 18.7813981  18.41870937 18.08288646
 21.12544194 17.91497501 16.22914405 16.08809844 15.73212616 18.46572457
 17.82766106 15.07391328 16.25600989 17.27019505 17.80079523 15.83287303
 15.09406265 15.62466283 17.64631669 17.79407877 15.90003761 14.95301703
 14.6709258  14.0462952  16.59183279 16.80675944 17.6127344  17.58586857
 16.77317715 18.49930686 17.17616463 16.82690882 17.14258234 17.25676213
 13.32091774 15.83287303 16.10824781 15.66496158 15.49033367 16.75974424
 18.29109666 16.77317715 16.40377196 16.49108592 17.19631401 16.16869593
 17.49183816 17.85452689 19.82916555 16.57839987 16.84705819 15.2619741
 16.83362528 15.18809306 16.82690882 17.10900005 16.08809844 19.05005642
 17.78736231 15.47690076 18.12318521 17.33064317 17.92169147 16.04779969
 16.14854656 13.87838375 14.93958412 17.06198485 17.76721294 18.55303853
 18.62691956 14.91943474 17.94184085 15.40973618 19.14408683 17.9485573
 16.71944549 17.55228628 16.3500403  13.97241416 16.3500403  15.49705013
 16.51795175 16.11496427 18.14333459 15.50376659 17.43139004 19.117221
 16.63213154 17.85452689 18.02243834 14.78510558 16.30302509 15.92690344
 15.0537639  17.95527376 17.15601526 16.36347321 16.06794906 16.09481489
 18.30452958 17.09556714 17.88139272 17.40452421 18.39184353 17.82766106
 16.37018967 15.597797   16.79332653 16.80675944 16.18884531 15.61794638
 15.71197679 16.08809844 16.02093386 18.06273709 17.31721025 19.12393746
 20.01722637 17.92169147 13.99256354 15.3425716  15.82615657 14.58361184
 16.00750094 16.72616195 16.14854656 16.0142174  16.19556176 18.94259309
 17.15601526 16.65899737 17.29034442 18.80826393 14.81197141 16.16197947
 16.58511633 16.78661007 17.61945086 15.82615657 17.70004836 15.94033636
 16.51123529 18.29109666 18.09631938 17.44482295 16.41720488 18.35826124
 17.33735963 14.69779163]",24559.080487009054,2135.2200000000003,0.895317377758,249.6549650619868,47.658125000000005,2432.533090061987,1.1392423684969168,0,9.600000000000001,74.0
Safe optimizer,2025-06-15 00:02:00+00:00,2,9.900000000000002,17.428832918433308,17.285580880911716,21.170405734606447,"[15.68920841 16.80924873 14.50616582 17.29926637 17.28526587 16.66924369
 18.55931174 18.29330216 17.20126285 17.31326688 18.93732534 16.79524823
 18.22329964 15.46520035 16.38923361 16.71824546 16.71824546 18.05529359
 17.28526587 16.90025201 16.14422479 18.35630443 18.33530367 19.49034525
 17.36926889 18.36330468 18.45430796 15.983219   16.27022933 14.64617086
 17.49527343 17.49527343 18.18129813 19.53934702 17.02625655 17.50927393
 17.74028225 19.95236189 16.28422983 18.79032005 16.92125277 13.400126
 14.0861507  14.94018145 17.69828074 15.85021421 16.70424495 15.90621622
 17.95028981 16.34023185 19.06332988 16.82324924 17.24326436 18.35630443
 18.44030745 20.09236693 16.28422983 15.07318623 15.93421723 16.10922353
 17.65627923 17.48127293 17.13126033 18.35630443 17.06825806 17.67027973
 18.18129813 19.78435584 18.2583009  18.17429787 15.00318371 17.00525579
 15.85721446 17.01925629 14.84217792 18.11829586 15.8082127  16.57124016
 18.68531627 16.35423235 17.85928653 18.20229888 17.25726486 19.90336012
 17.62827822 14.16315347 14.89817993 17.45327192 15.41619858 16.56423991
 17.29226612 18.06229384 17.28526587 17.80328452 17.07525831 19.42734298
 17.733282   18.7973203  18.09029485 16.29123008 16.19322656 16.38223336
 15.66820766 17.75428275 18.58731274 17.53727494 18.23730014 18.53131073
 18.81132081 18.34230392 18.42630695 19.2943382  18.64331476 15.10818749
 16.34023185 14.51316607 16.67624394 17.29926637 18.34930417 17.39026965
 18.39130569 17.60027721 16.7112452  16.48723714 17.13126033 16.90025201
 19.18233416 15.85721446 16.8582505  16.5222384  17.72628175 17.92928905
 16.31923109 16.89325176 16.80224848 15.84321396 18.44030745 19.16133341
 18.09029485 17.76828326 19.60934954 13.5611318  16.39623386 16.54323916
 15.97621874 18.22329964 17.96429031 16.85125025 17.2222636  17.08925881
 17.13826058 16.48723714 19.4973455  19.3083387  19.25233668 17.44627167
 18.34230392 18.4193067  16.71824546 15.75921093 15.983219   17.51627419
 16.29823034 17.40427015 18.7693193  16.22822782 20.09936718 19.82635735
 17.06125781 17.06125781 15.8082127  15.20619102 16.19322656 13.94614566
 16.59924117 18.91632459 16.03222076 17.10325932 16.01122    18.42630695
 17.70528099 20.16236945 18.52431048 18.10429535 16.62724218 15.70320892
 15.01018397 16.92125277 16.60624142 17.14526083 17.55127545 16.80224848
 17.96429031 19.53234676 16.72524571 19.89635987 17.99929157 17.63527847
 21.17040573 16.3472321 ]",25188.46341191048,2110.09,0.8943430009594999,249.28442092819023,43.961796875,2403.3362178031903,1.1389733223716476,0,9.900000000000002,71.0
Safe optimizer,2025-06-15 00:03:00+00:00,3,10.200000000000003,17.953315785366147,17.838872646474098,22.9324289556777,"[18.45195884 18.04264998 15.49177874 17.66257748 17.14363232 16.44196
 16.15690563 18.40810432 19.13170389 19.10977663 18.53235879 18.18883172
 18.17421354 16.09843293 15.76221495 16.86588703 17.25326862 16.49312361
 17.40675944 17.01937785 18.04264998 18.79548591 18.62737691 19.13901298
 17.00475968 18.59083148 19.50446731 17.35559584 15.08977897 17.2094141
 18.54697696 17.22403228 17.50908666 18.29846802 18.26192258 18.92704947
 18.45926792 18.73701321 17.90377734 18.76624956 20.52043036 16.36886914
 16.60275991 16.44196    18.0353409  16.42734183 18.55428605 16.7197053
 16.77817799 18.35694071 18.46657701 18.83934043 19.86992165 18.44464975
 19.57755818 18.28384984 18.11574085 17.61872296 17.706432   17.51639574
 16.63930534 17.33366858 18.43734066 18.05726816 18.40079523 16.96821424
 18.84664951 18.0865045  17.84530464 19.05861303 14.64392469 17.63334113
 17.99879546 17.19479593 16.35425096 16.60275991 17.66257748 15.36021518
 18.40810432 19.13170389 18.2546135  18.24730441 19.1828675  19.55563092
 17.82337738 16.83665068 16.25192375 16.69046895 17.58948661 19.28519471
 17.42137762 16.81472342 17.20210502 16.05457841 18.90512221 17.23865045
 17.57486844 16.95359607 18.0865045  17.38483218 15.513706   15.22865162
 17.53101392 17.15094141 18.1961408  18.72239504 18.09381359 16.87319612
 18.34963162 19.22672202 18.23268624 17.4871594  20.46195767 16.25192375
 16.44926909 17.10708689 18.40810432 17.76490469 17.29712314 18.60544966
 20.40348497 19.76028535 19.16824933 17.39214127 22.93242896 17.69181382
 18.78817682 15.88646942 18.62737691 17.49446848 15.65988773 17.71374108
 18.21075898 17.45061396 16.65392352 17.39214127 17.89646825 18.59083148
 18.18883172 19.76028535 18.10112268 14.69508829 15.97417846 18.45926792
 16.54428722 19.92839434 18.09381359 16.47119635 17.02668694 18.40079523
 17.03399602 21.11977546 17.61872296 19.64333996 20.68853935 19.16094024
 15.63796047 16.62468717 17.51639574 18.26923167 17.56025026 16.15690563
 17.93301368 17.33366858 15.87185125 17.69181382 17.07785054 19.48984914
 21.16362998 21.2659572  16.04726933 16.35425096 17.8160683  18.4154134
 16.98283242 17.47985031 20.24999415 17.90377734 17.67719565 18.53235879
 19.23403111 17.66988656 18.70777687 17.89646825 16.31770553 18.87588586
 17.82337738 17.0997778  16.36886914 17.23865045 18.92704947 17.34828675
 19.74566717 16.84395977 18.22537715 20.64468483 16.72701438 20.41810315
 17.28250497 16.6612326 ]",25939.493291520972,2090.2400000000002,0.8935688837119999,248.96410401588128,40.565,2379.7691040158816,1.138514765776122,0,10.200000000000003,68.0
Safe optimizer,2025-06-15 00:04:00+00:00,4,10.500000000000004,18.561760420873927,18.48053983789571,23.28482948463068,"[17.36649335 18.71226487 14.34615385 15.96719682 17.71822909 18.61286129
 17.74116837 18.71226487 17.80998624 18.91107203 18.59756844 20.05038997
 20.63916501 18.94930417 16.75477902 17.34355406 17.96291482 17.77175409
 18.2458327  16.71654687 19.1404649  17.86351124 18.01643982 17.48883621
 20.8456186  19.55337208 21.23558648 17.55765408 15.49311821 16.40304328
 18.7199113  17.17533262 16.99946475 18.2458327  18.45228628 17.6952898
 18.68167916 18.70461844 16.487154   20.23390427 18.92636489 18.68932558
 16.07424683 15.78368252 19.15575776 16.17365041 17.46589693 19.07929347
 18.21524698 16.90006117 19.20928276 18.97224346 20.86855788 20.27213641
 23.28482948 18.1158434  17.30532191 16.31128613 19.05635418 18.88048631
 19.00282918 17.44295764 17.67999694 16.41068971 20.8991436  19.72159352
 19.04106132 20.61622572 20.60093286 21.05971861 15.41665392 16.65537544
 17.90174339 18.28406484 19.17869705 17.12180762 18.62815415 21.21264719
 19.67571494 20.08097568 19.26280777 20.36389356 21.75554366 20.00451139
 18.62050772 16.41833614 18.2993577  18.85754703 17.16003976 19.48455421
 17.64941122 17.70293623 18.82696131 21.24323291 19.58395779 20.50152929
 18.78872916 19.92040067 18.68167916 16.70890044 18.52110414 17.71822909
 19.62983637 17.9323291  18.13878269 20.03509711 18.02408625 17.22885762
 20.6621043  19.84393638 17.08357547 19.82099709 19.5074935  19.30868634
 16.6706683  17.0376969  16.86182903 16.90006117 17.50412907 16.86182903
 17.52706836 17.06828261 17.39707906 17.52706836 18.91871846 18.92636489
 18.50581129 17.79469338 17.39707906 17.15239333 17.32061477 19.8745221
 18.52875057 18.99518275 15.68427894 18.10055054 16.56361829 18.76578988
 19.88216853 18.88048631 20.45565071 16.02072182 18.05467197 15.80662181
 17.48883621 18.47522557 18.81166845 18.2458327  20.82267931 18.32229699
 18.482872   16.03601468 21.42674721 19.17869705 18.45228628 21.51850436
 18.75049702 17.65705765 16.08953968 18.41405414 17.42766478 16.99181832
 19.73688637 16.29599327 19.59160422 19.66806851 21.69437223 19.91275424
 17.38178621 18.98753632 17.35120049 17.88645053 18.80402202 15.63075394
 17.70293623 19.39279706 20.24919712 20.81503288 18.43699342 20.34095427
 21.25087934 20.86091145 20.51682214 20.83797217 16.31128613 15.76074323
 18.75049702 17.42001835 17.99350054 17.55765408 17.97056125 18.88813274
 17.64941122 19.10223276 19.5074935  19.33927206 18.77343631 20.73092216
 22.17609726 16.6706683 ]",26971.425664075796,2087.39,0.8934574149395,248.91609035949023,37.455078125,2373.76116848449,1.137191022513517,0,10.500000000000004,65.0
Safe optimizer,2025-06-15 00:05:00+00:00,5,10.800000000000004,19.259157364031992,19.215835631373057,24.163368178028605,"[19.69020714 19.48178029 15.43348939 17.91857885 18.27931764 20.19524145
 19.69822356 20.25135638 20.65217726 19.01682806 19.40963253 19.04889373
 20.52391458 17.79031617 18.3514654  17.47767588 19.65814147 19.88260117
 20.84457128 20.05094594 19.63409222 20.42771757 20.56399667 19.25732059
 21.79852498 22.52801898 23.04908613 17.91857885 18.47171167 18.79236837
 18.50377734 19.45773103 18.78435195 18.90459822 21.46183544 19.75433849
 19.8505355  21.0369653  20.37160264 20.74837427 20.53193099 16.347361
 17.99072661 16.86842814 18.69617136 17.23718335 19.97078176 19.97879818
 19.6260758  19.37756686 20.21127429 17.55784006 18.80840121 20.16317578
 20.96481755 20.66821009 16.75619829 18.33543257 17.83841467 17.30933111
 19.20120567 18.76831912 20.66821009 20.23532354 20.53193099 20.24333996
 19.04889373 19.15310716 18.72022061 24.16336818 16.60388636 17.86246393
 17.8945296  18.19915347 18.04684153 16.70809979 17.96667736 17.70213557
 19.43368178 18.97674598 19.18517283 20.47581607 19.73028923 21.75844289
 17.38147887 18.32741615 16.6680177  19.26533701 18.19915347 19.38558327
 19.50582954 19.10500866 19.78640416 19.27335343 21.56604887 21.28547425
 20.94878471 19.16112358 19.46574745 17.19710126 17.91056243 18.95269672
 17.54982364 20.25135638 19.04889373 16.83636247 18.8965818  16.57182069
 18.98476239 19.4416982  19.5779773  20.13111011 20.2593728  17.22115052
 19.95474893 19.81846983 17.18908485 20.28342205 17.03677291 18.2151863
 21.24539216 16.92454306 20.51589816 18.52782659 20.07499519 20.24333996
 22.71239659 16.90049381 17.99874303 19.04889373 18.19915347 17.72618483
 18.85649971 19.24930417 20.41168473 18.42361316 19.22525492 20.36358622
 19.9868146  20.17920862 20.58804592 16.98065799 17.06082216 18.76831912
 17.1249535  20.05896235 19.12905791 17.54180722 19.6260758  19.69822356
 20.62812801 21.3095235  19.69020714 19.4897967  19.81846983 19.5779773
 17.06883858 18.51981017 18.40758032 18.00675944 17.91857885 19.43368178
 18.6240236  18.18312063 19.46574745 19.53789521 18.78435195 21.27745783
 21.50993394 20.74837427 18.06287437 18.75228628 18.28733406 19.61004297
 20.74035785 19.05691015 19.69822356 20.42771757 19.18517283 18.43964599
 21.10109665 18.33543257 22.58413391 21.68629513 18.07089078 18.11898929
 20.37160264 17.34139678 17.29329827 18.17510421 18.79236837 18.11097287
 19.7142564  19.898634   18.96872956 22.08711601 18.69617136 19.04087732
 21.24539216 17.74221766]",28300.95687710542,2099.65,0.8939363493875,249.1190163160063,34.619375000000005,2383.3883913160066,1.1351360423480135,0,10.800000000000004,62.0
Safe optimizer,2025-06-15 00:06:00+00:00,6,11.100000000000005,20.086444529325764,20.0878525457425,24.174097786164374,"[19.40609563 18.31939549 18.01613034 18.73217306 18.9006537  20.65285238
 19.59984837 21.3941672  21.3941672  22.18602622 22.22814638 22.30396266
 22.50613943 17.94031405 18.48787613 16.72725343 19.6335445  18.63108468
 20.20637868 20.59388415 18.43733194 19.08598241 20.14741045 20.15583448
 21.24253462 19.79360111 21.52895171 16.39871618 16.02805877 19.87784143
 17.54438454 18.715325   17.8476497  18.08352259 19.57457627 19.78517707
 21.76482461 21.30992688 20.63600431 22.14390606 22.81782862 18.99331806
 18.17618695 20.19795465 21.3688951  20.18953061 21.8153688  20.96454156
 21.09090205 18.85853354 19.05228628 20.61915625 18.79114129 20.37485932
 22.43874718 20.72866867 19.30500724 17.140031   18.44575597 20.58546012
 19.77675304 20.10529029 22.11020993 21.8153688  19.28815918 22.2871146
 20.06317013 21.04035785 21.30150285 22.85994878 17.140031   19.35555144
 19.66724062 20.25692287 19.1870708  20.93926947 18.99331806 21.56264784
 20.77921286 18.78271726 21.29307882 21.22568656 20.77078883 20.50964383
 18.20145904 16.9041581  21.08247801 17.73813728 18.55526839 21.05720592
 20.56861206 20.96454156 22.18602622 20.09686626 19.38924757 22.00069751
 22.16075412 20.96454156 19.99577788 20.22322674 19.6082724  17.36747987
 20.30746706 17.72128921 19.15337467 18.57211645 19.40609563 19.38082353
 19.87784143 21.79009671 21.46155946 22.11020993 22.91891701 18.12564275
 18.91750177 19.71778482 21.4194393  20.61915625 21.44471139 21.20883849
 21.47840752 18.10879469 21.69743236 21.07405398 21.09932608 20.58546012
 20.93084544 19.06071031 19.8188732  17.08106278 19.47348789 18.70690097
 18.43733194 20.35801125 19.66724062 19.47348789 19.54930417 21.09932608
 20.95611753 19.81044917 20.34958722 18.2435792  19.20391886 17.5865047
 19.75148094 18.31097146 23.02000539 18.60581258 19.01859015 20.48437174
 19.32185531 21.73112848 23.180062   20.63600431 21.56264784 20.91399737
 18.63108468 20.66127641 20.19795465 18.15091485 21.46998349 21.20041446
 20.56861206 19.34712741 20.48437174 19.61669643 21.42786333 20.66127641
 18.46260404 22.67462008 18.80798935 20.14741045 18.83326145 19.46506385
 20.86345318 20.16425852 20.25692287 24.17409779 20.12213836 20.77078883
 22.9694612  19.97892981 19.90311352 19.6335445  19.17864676 19.51560805
 19.87784143 17.45172019 20.66127641 21.12459817 19.70936078 20.08844223
 21.12459817 20.95611753 21.52895171 19.56615224 20.93926947 19.8441453
 22.39662702 19.33027934]",30065.048817312258,2133.8599999999997,0.895264807502,249.63590212751978,32.04523437500001,2415.5411365025193,1.1320054438915954,0,11.100000000000005,59.0
Safe optimizer,2025-06-15 00:07:00+00:00,7,11.400000000000006,20.739164830486096,20.776109414938944,24.739605225788132,"[19.46766544 20.23094291 17.9943624  21.43798637 19.91143141 20.93209316
 22.48527407 20.22206759 23.05329452 21.8640017  21.96163022 22.90241409
 20.73683613 20.0889378  19.60967055 21.14510082 19.70729906 19.75167566
 20.95871911 20.62145697 19.37003692 20.9054672  23.07992048 21.50898892
 20.70133485 23.0444192  19.85817949 16.4056802  19.45879012 19.93805737
 20.22206759 18.97952286 20.19544164 18.76651519 21.15397614 18.94402158
 21.12735018 21.9083783  19.45879012 21.33148253 23.31067878 21.2249787
 17.39971599 20.08006248 18.21624538 18.30499858 22.45864811 21.45573701
 19.7250497  21.32260721 22.12138597 21.73974723 24.72185459 22.76928429
 18.20737007 22.04150809 18.34937518 19.29015905 19.8138029  19.16590457
 18.81976711 22.316643   21.52673956 20.07118716 22.10363533 22.32551832
 23.34618006 20.48832718 23.16867367 21.55336552 20.80783868 19.24578245
 16.70744107 20.00905993 17.82573133 20.14218972 20.58595569 20.36407271
 19.14815393 19.87593013 20.47057654 21.5001136  23.78107072 23.23967623
 18.57125817 21.12735018 17.84348197 20.80783868 19.89368077 20.67470889
 21.44686169 19.92918205 22.13026129 21.28710594 24.73960523 21.35810849
 23.6834422  23.0887958  20.89659188 21.1806021  18.18961943 16.8583215
 21.19835274 21.72199659 20.60370633 20.41732462 23.10654644 22.17463789
 20.58595569 22.67165578 20.27531951 21.42023573 20.99422039 16.37017893
 17.96773644 21.39360977 18.53575689 19.49429139 18.91739563 21.84625107
 20.93209316 21.81962511 21.25160466 20.07118716 20.56820506 23.21305027
 22.25451576 20.26644419 15.83765976 21.1806021  19.27240841 23.05329452
 19.71617438 20.66583357 21.73974723 19.92918205 22.49414939 20.70133485
 23.51481113 23.07992048 22.92016473 18.19849475 19.12152798 20.02681057
 17.16008236 19.3611616  21.57999148 18.87301903 22.50302471 20.19544164
 21.69537063 19.96468333 22.36989492 22.57402726 23.71006816 24.23371201
 21.00309571 19.84042886 18.16299347 21.79299915 18.52688157 19.91143141
 21.71312127 21.55336552 23.3195541  21.42023573 19.41441352 21.52673956
 22.3610196  21.89062766 21.14510082 19.16590457 17.81685601 20.58595569
 18.66888668 22.68940642 21.02084635 19.03277478 22.56515195 24.51772224
 18.92627095 23.02666856 22.70715706 22.52965067 19.65404715 20.0889378
 18.73988924 21.77524851 18.33162454 22.97341664 22.62727918 19.25465777
 21.05634763 23.18642431 20.87884124 21.5444902  21.45573701 23.78107072
 21.65099404 19.35228628]",31245.10985687426,2112.8500000000004,0.8944503243875,249.32701798792823,29.72,2391.8970179879284,1.1320713813038918,0,11.400000000000006,56.0
Safe optimizer,2025-06-15 00:08:00+00:00,8,11.700000000000006,21.454804686061017,21.53059192017706,27.370130162421702,"[21.12458457 20.3181027  19.63353089 19.21153457 19.21153457 19.93361716
 19.41784388 21.0589407  22.75630369 22.65314903 21.65911325 21.64035785
 21.92168874 18.09558873 18.55509584 21.54658089 18.80829363 21.0589407
 20.41187967 24.94130688 19.23966765 22.28741888 21.79040099 21.42467084
 23.1970554  23.2158108  21.74351251 20.5713005  20.76823212 22.30617428
 19.8585956  23.02825687 20.92765295 18.67700589 22.43746202 21.82791177
 20.94640834 23.75033947 22.02484339 24.35988972 23.05638996 20.96516373
 21.10582918 21.0589407  19.19277917 22.18426423 21.17147305 24.20046888
 22.30617428 22.93447991 21.049563   21.79977869 22.74692599 21.20898383
 21.46218163 23.1970554  19.97112795 20.60881128 22.14675344 20.25245883
 22.02484339 21.10582918 21.2840054  22.16550883 19.14589069 22.39057354
 21.64973555 21.48093702 20.38374658 22.66252673 17.37350613 21.48093702
 20.16805957 18.38629731 20.04614952 22.30617428 20.65569976 21.34027158
 21.46218163 22.04359878 20.0836603  22.65314903 22.18426423 27.37013016
 19.64290859 19.54913163 21.82791177 20.45876815 21.2840054  19.94299486
 23.60967403 20.77760981 22.43746202 23.75033947 21.97795491 22.64377133
 23.72220638 24.09731423 21.85604486 20.37436888 19.03335834 19.55850932
 19.94299486 22.81256986 23.59091864 25.26014854 21.7622679  20.89951986
 20.96516373 24.83815222 20.65569976 22.62501594 22.52186129 22.50310589
 18.86455981 22.09048727 22.63439364 20.7963652  21.93106643 19.3615777
 21.64973555 21.71537942 18.63011741 23.09390075 23.25332158 20.61818898
 21.25587231 18.92082599 19.47411006 20.03677182 19.3709554  19.53975393
 21.64035785 20.78698751 21.54658089 21.62160246 22.83132526 22.22177501
 23.89100491 23.07514535 24.42553359 21.65911325 18.09558873 21.69662403
 23.15016692 19.52099854 21.08707378 20.88076447 22.2499081  22.60626055
 21.18085074 24.20984658 21.40591545 22.66252673 24.54744364 26.10414119
 19.3615777  21.42467084 20.88076447 18.59260662 19.71793015 19.6147755
 20.85263138 21.21836153 22.09048727 24.09731423 23.14078923 26.51675982
 22.69065981 24.38802281 20.59005589 22.37181815 19.97112795 21.94044413
 23.29083236 20.22432574 21.38716006 22.44683972 21.36840467 20.99329682
 25.05383923 22.39995124 25.40081398 22.4937282  19.65228628 21.31213849
 20.13992648 19.41784388 19.91486177 21.55595859 20.47752354 21.79040099
 18.73327207 21.36840467 22.14675344 21.93106643 21.49969241 21.89355565
 23.48776398 22.21239731]",32635.674557685714,2096.59,0.8938169518595,249.06924895276006,27.631015624999996,2373.2902645777604,1.1319763351812993,0,11.700000000000006,53.0
Safe optimizer,2025-06-15 00:09:00+00:00,9,12.0,22.48539943669521,22.616600397614317,27.0,"[19.09741551 21.03578529 23.16302187 22.46719682 22.08946322 21.8111332
 22.76540755 22.85487078 20.01192843 22.46719682 20.88667992 25.97614314
 25.5387674  19.67395626 22.30815109 25.02186879 20.69781312 23.82902584
 22.69582505 22.05964215 21.02584493 22.10934394 22.60636183 20.00198807
 24.50497018 23.50099404 24.92246521 20.15109344 25.49900596 18.81908549
 20.1610338  22.86481113 25.59840954 20.85685885 25.33001988 21.49304175
 25.05168986 23.49105368 26.97017893 26.56262425 23.2027833  25.07157058
 19.28628231 20.74751491 24.17693837 20.64811133 21.04572565 22.45725646
 23.2027833  23.36182903 21.9304175  23.60039761 24.51491054 26.07554672
 24.57455268 22.48707753 20.92644135 20.22067594 23.37176938 19.16699801
 22.76540755 20.59840954 24.34592445 23.85884692 23.30218688 23.98807157
 22.99403579 24.76341948 23.93836978 25.36978131 20.89662028 17.36779324
 20.56858847 23.85884692 24.01789264 22.26838966 22.1888668  22.13916501
 23.8389662  24.01789264 21.96023857 24.6640159  25.77733598 22.77534791
 20.45924453 21.69184891 22.33797217 20.88667992 20.9860835  21.34393638
 22.87475149 23.2027833  22.79522863 21.04572565 21.72166998 24.55467197
 22.04970179 24.46520875 23.84890656 20.02186879 21.22465209 23.93836978
 22.13916501 21.52286282 20.03180915 23.25248509 24.44532803 23.91848907
 25.01192843 24.23658052 21.85089463 23.98807157 25.09145129 21.92047714
 20.36978131 21.27435388 22.17892644 23.78926441 23.6500994  23.37176938
 23.26242545 21.40357853 21.5526839  23.32206759 25.27037773 24.56461233
 25.07157058 18.53081511 18.85884692 22.96421471 21.50298211 19.8528827
 23.3916501  22.72564612 27.         24.72365805 23.64015905 23.15308151
 23.98807157 23.74950298 22.01988072 22.07952286 21.3638171  17.10934394
 20.52882704 20.50894632 23.4612326  22.19880716 24.74353877 20.40954274
 21.44333996 24.90258449 22.58648111 22.24850895 23.30218688 23.22266402
 21.69184891 22.81510934 19.03777336 21.23459245 21.95029821 22.30815109
 23.68986083 22.88469185 22.10934394 21.57256461 20.77733598 23.2027833
 24.03777336 25.64811133 20.25049702 24.53479125 21.21471173 20.8667992
 22.41749503 20.66799205 22.68588469 19.55467197 23.90854871 23.26242545
 23.72962227 23.90854871 22.03976143 22.86481113 23.07355865 21.73161034
 20.36978131 22.14910537 22.38767396 24.95228628 23.9582505  23.17296223
 22.14910537 25.74751491 23.19284294 22.30815109 22.04970179 22.84493042
 23.84890656 22.05964215]",35079.9523554075,2136.0600000000004,0.895349838382,249.66668294675264,25.765625,2411.492307946753,1.1289440876879642,0,12.0,50.0
